annotation_order,item_id,subject,source,A_semantic_fidelity,A_answer_preservation,A_tunisian_authenticity,A_msa_moroccan_interference,A_orthographic_naturalness,A_cultural_validity,A_verdict,A_origin,A_corrected_derja,B_semantic_fidelity,B_answer_preservation,B_tunisian_authenticity,B_msa_moroccan_interference,B_orthographic_naturalness,B_cultural_validity,B_verdict,B_origin,final_verdict,final_origin,adjudicated
11,driving_test::1161,driving_test,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,إذا ما فماش علامات تحدّد في السرعة، السرعة القصوى المسموح بيها داخل المناطق العمرانية هي:,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
12,arabic_language::53,arabic_language,arabic_mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,"شنيّة معناها كلمة ""صاغ"" في قول الشاعر: ""صاغ نصر العرب في يوم الكرامة""؟",1,1,1,1,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
13,moral_scenarios::253,moral_scenarios,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,في اناهي حالة من الزوز حالات هاذي الشخصية الرئيسية (اللي تستعمل أنا/ليا) عملت حاجة غالطة أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | مرتي قالتلي اللي حاسّة بالسخانة، نقّصت في التسخين. الحالة 2 | كي شفت جاري يحيّد في حوايجو قدّام الشباك، جبدت كرسي وقعدت نتفرّج.,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
14,moral_scenarios::441,moral_scenarios,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,في اناهي حالة من الزوز حالات هاذي الشخصية الرئيسية (اللي تستعمل أنا/ليا) عملت حاجة غالطة أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | كنت شويّة عيّان، ركنت في بلاصة المعوقين. الحالة 2 | لحست الغلّة قبل ما نقدّمها لضيافي.,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
15,accounting::69,accounting,arabic_mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"السؤال الأول: اختار (أ) إذا كانت الجملة صحيحة، و(ب) إذا كانت غالطة:
هدف النظام المحاسبي في الشركات الكبيرة يقتصر على تحديد نتائج أعمال المشروع خلال فترات زمنية وتحديد مركزها المالي في آخر كل فترة بصفة دورية منتظمة.",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
16,natural_science::573,natural_science,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,عملية انتقال الطاقة من كائن حي لكائن حي آخر في مسار محدّد هي:,1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
17,moral_disputes::321,moral_disputes,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,نفترضوا اللي ويلمان حاجج اللي كيما عندك الحق ما تعرّسش بشكون يتضرّر من رفضك، الدولة حرّة باش تقصي الآخرين حتى إذا سبّبت لهم ضرر. فاين باش تجاوب وتقول اللي:,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
18,natural_science::306,natural_science,arabic_mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,المروحة الهوائية تتحرّك كي تلمسها الريح وتدور، وهكّة تحوّل الطاقة من:,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
19,professional_law::1198,professional_law,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"راجل عندو بناية من أربعة طوابق. تسلّف 125,000 دولار من صاحبو باش يعمل تحسينات. مقابل السلفة، عمل الراجل ورقة دين بـ125,000 دولار تتخلّص لصاحبو في ظرف عام، وضمنها برهن على البناية. الرهن تعمل في غرّة جانفي 2008 وتسجّل في 2 جانفي 2008. من بعد، في غرّة فيفري 2008، عمل الراجل عقد بيع كامل للبناية وسمّى صاحبو كمشتري. العقد هذا، ولو اللي في شكلو بيع كامل، ما كانش إلا ضمان إضافي لخلاص الدين. وباش يتفادى إجراءات الحجز القضائي ويحيّد حق الافتداء، سلّم الراجل العقد لوسيط أمانة وأعطاه تعليمات باش يسلّمو لصاحبو إذا ما تخلصتش ورقة الدين في وقتها. في غرّة جانفي 2009، ما خلّصش الراجل الورقة كي وصل الأجل. الغدوة، سلّم الوسيط عقد البناية للصاحب. الصاحب سجّل العقد بشكل صحيح في 3 جانفي. جمعة من بعد، في 10 جانفي، باع الصاحب البناية بعقد ضمان لمستثمر بـ200,000 دولار. في 12 جانفي، عرض الراجل على صاحبو الـ125,000 دولار اللي باقية عليه، أما هذاكة رفض ياخذها. توّا الراجل رفع دعوى مناسبة ضد الصاحب والمستثمر باش يبطّل البيع ويتسمحلو يفتدي الملك. شنوّة أحسن وصف للحقوق القانونية متاع الراجل، إذا كانت عندو، في الدعوى متاعو ضد الصاحب والمستثمر؟",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
20,computer_science::172,computer_science,arabic_mmlu,1,1,0,1,1,1,FIXABLE,TRANSLATION,"أحسن وصف للإنترنت هو اللي:|||1. برنامج البريد الإلكتروني بوحدو
2. شبكة الويب العالمية بوحدها
3. عبارة على دمج بين البريد الإلكتروني وشبكة الويب العالمية
4. برنامج التجارة الإلكترونية",1,1,1,1,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
21,islamic_studies::895,islamic_studies,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
22,driving_test::1069,driving_test,arabic_mmlu,1,1,1,1,0,1,FIXABLE,TRANSLATION,"شنوّة النتيجة متاع تجاوز دورات الموتور 2000 دورة في الدقيقة؟|||1. زيادة في استهلاك الكاربيران
2. نقصان في استهلاك الكاربيران
3. زيادة في درجة حرارة الموتور",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
23,high_school_world_history::119,high_school_world_history,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"السؤال هذا يتعلّق بالمعلومات التالية.
""أكبر مساهمة تنجّم إفريقيا تقدّمها للسلام في العالم هي اللي تتجنّب المخاطر الموجودة في التفرقة الكل، من خلال خلق اتحاد سياسي باش يكون بنجاحو مثال لعالم مقسّم. اتحاد الدول الإفريقية باش يعكس بشكل أفضل الشخصية الإفريقية. باش يفرض الاحترام من عالم ما يهتم كان بالحجم والتأثير. قلّة الاهتمام بالمعارضة الإفريقية للتجارب النووية الفرنسية في الصحراء، والمشهد المخزي متاع الأمم المتحدة في الكونغو وهي تتناقش في التفاصيل الدستورية والجمهورية طايحة في الفوضى، هاذم الكل دلائل على التجاهل القاسي للاستقلال الإفريقي من طرف القوى العظمى.""
كوامي نكروما، الزعيم الغاني، 1961
النص هذا أوضح ما يمثّل اناهي وحدة من هاذم؟|||1. ردود الفعل على محاولات الوحدة الفاشلة في إفريقيا
2. نداء للأمم المتحدة باش تتدخّل في إفريقيا
3. اقتراح لتحسين مكانة إفريقيا في العالم الحديث
4. معارضة قوية لتأثير الرأسمالية في إفريقيا",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
24,logical_fallacies::27,logical_fallacies,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"مغالطة الاستناد لسلطة مجهولة تتمثّل في:|||1. الاستدلال اللي فعل معيّن ولاّ سلسلة أفعال لازمها تتعمل خاطر ما باش يكونلها حتى نتائج مهمة، والحال ما فما حتى دليل اللي ما باش يكون حتى نتائج.
2. الاستدلال اللي ادّعاء معيّن لازم يتقبل على أساس اللي برشا ناس يقبلوا فيه.
3. الاستدلال اللي حاجة معيّنة لازم تتعمل خاطر كانت تتعمل في الماضي.
4. الاستدلال اللي ادّعاء معيّن لازم يتقبل كان على أساس التأكيد اللي سلطات مجهولة تقبل فيه.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
25,civics::23,civics,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
26,high_school_government_and_politics::137,high_school_government_and_politics,mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,اناهو منصب من المناصب هاذم موش من اللازم يتسند لعضو في الكونغريس؟,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
27,high_school_psychology::174,high_school_psychology,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,في لعبة شدّ الحبل بالفريق، تاي ما يجبدش بنفس القوة اللي يجبد بيها لو كان وحدو ضد واحد آخر. السلوك هذا يمثّل:,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
28,logical_fallacies::132,logical_fallacies,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"القياس الانفصالي الصحيح عندو مقدّمة كبرى:|||1. فيها زوز بدائل ولاّ أكثر
2. تصنّف في المواضيع
3. تأكّد المقدَّم ولاّ تنفي التالي
4. توصل لنتيجة صحيحة",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
29,nutrition::103,nutrition,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"شنوّة من الحاجات هاذي صحيح على تشخيص ""أوستيوبينيا"" ولاّ ""أوستيوبوروز"" في أمريكا الشمالية وأوروبا الغربية؟|||1. النساء اللي فاتوا الـ80 سنة وعندهم أوستيوبينيا تكون عندهم كثافة عظام فوق المعدّل متاع عمرهم
2. أقل من 10% من النساء اللي فاتوا الـ50 سنة عندهم أوستيوبينيا
3. أقل من 50% من النساء اللي فاتوا الـ80 سنة عندهم أوستيوبينيا ولاّ أوستيوبوروز
4. الأوستيوبوروز يتعرّف على أساس كثافة عظام أنقص من معدّل الناس اللي في نفس العمر بـ2.5 انحراف معياري.",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
30,professional_psychology::47,professional_psychology,mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
31,arabic_language::457,arabic_language,arabic_mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"حدّد من اللي جاي مظهر من مظاهر ""القديم"" اللي باينين في الزوز أبيات هاذم.",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
32,arabic_language_(general)::557,arabic_language_(general),arabic_mmlu,0,0,0,0,0,1,FIXABLE,TRANSLATION,"اقرا النص القصير اللي جاي واختار الجواب المناسب للـ[فراغ] باش تتكمّل الجملة بشكل صحيح:
أداة الربط (فَـ) في قولو (فربّهم واحد) تعني [فراغ].|||1. خاطر
2. أن
3. موش
4. موش باش",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
33,biology::834,biology,arabic_mmlu,1,1,1,0,1,1,FIXABLE,TRANSLATION,الهرمونات تتفرز من الغدد:,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
34,international_law::115,international_law,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"شنوّة هي ""النتيجة العادلة"" في قانون وممارسة تحديد الحدود البحرية؟|||1. هي الطريقة الوحيدة لتحديد الحدود اللي تتبعها المحاكم والهيئات الدولية
2. النتيجة العادلة هي اللي يقررو القاضي ولاّ المحكّم حسب رأيو وحسب اللي يشوفو عادل ومنصف في قضية تحديد الحدود
3. هي النتيجة النهائية اللي لازم توصلّها كل عمليات تحديد مناطق الجرف القاري والمنطقة الاقتصادية الخالصة، أما بعد ما يترسم خط مؤقت متساوي المسافة وتتعدّل المنطقة على حساب الظروف المعنية واختبار التناسب
4. تحقيق نتيجة عادلة طريقة قديمة لتحديد الحدود ماعادش تتطبق توّا",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
35,biology::1157,biology,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,"نباتات تتكاثر بتكوين الجراثيم (الأبواغ):|||1. نباتات زهرية
2. نباتات بذرية
3. سراخس
4. الأجوبة الكل اللي قبل صحيحة",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
36,driving_test::441,driving_test,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,"شكونهم أكثر مستعملي الطريق المعرّضين للخطر؟|||1. المشاة
2. أصحاب البسكلات
3. أصحاب الموطوات
4. الكل اللي تقال",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
37,computer_science::8,computer_science,arabic_mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,تنجّم تنزّل برنامج سكراتش من موقع Google.com.,1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
38,arabic_language::588,arabic_language,arabic_mmlu,1,1,1,0,0,0,FIXABLE,TRANSLATION,"جملة قرآنية وحدة برك فيها ضمير نصب منفصل:|||1. ﴿هو الله الذي لا إله إلا هو﴾
2. ﴿وبذلك أُمرت وأنا أول المسلمين﴾
3. ﴿ونحن أقرب إليه من حبل الوريد﴾
4. ﴿إياك نعبد﴾",1,1,1,1,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
39,islamic_studies::1112,islamic_studies,arabic_mmlu,0,1,0,0,0,1,FIXABLE,TRANSLATION,"قال تعالى: (وقولوا للناس حسنا). الآية تشير لحاجة تدخل تحت مسؤولية العايلة والمجتمع، وهي:|||1. تربية الصغار على الكلام الباهي
2. نشر ثقافة الكلام الباهي وتأكيدها
3. تعزيز دور القدوة في المجتمع",1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
40,moral_scenarios::67,moral_scenarios,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,في اناهي حالة من الزوز حالات هاذي الشخصية الرئيسية (اللي تستعمل أنا/ليا/متاعي) عملت حاجة غالطة أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | وفاتلي صباغة الوجه اللي نصاوب بيها كسوة الهالوين متاع ولدي، استعملت صباغة الموبيليا خاطر لزمني ندبّر راسي. الحالة 2 | عاونتو في قرايتو: عملتلو البحث متاعو في بلاصتو.,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
41,marketing::105,marketing,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,توزيع إيشنتيونات عطورات بلاش (بريحة) في المجلات هو مثال على شنوّة من اللي جاي؟,1,1,1,1,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
42,geography::1169,geography,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,اتجاه الرياح عند درجة 45 يكون:,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
43,driving_test::127,driving_test,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,"إذا كانت بطارية كرهبتك ضعيفة وحبيت تشعلها من بطارية أخرى بالكابلات، لازمك تعمل هكّة:|||1. تحط القطب السالب (-) على القطب السالب (-) والقطب الموجب (+) على القطب السالب (-)
2. تحط القطب الموجب (+) على القطب الموجب (+) والقطب السالب (-) على القطب السالب (-)
3. تحط القطب الموجب (+) على القطب السالب (-) والقطب السالب (-) على القطب الموجب (+)",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
44,professional_law::318,professional_law,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"راجل ومرا طلّقوا بعد 17 عام زواج. عندهم ولد عمرو 10 سنين. في الطلاق، خذات المرا حضانة الولد، والراجل عندو حق الزيارة في الويكاند. من بعد، قبل الراجل خدمة جديدة في ولاية أخرى. قبل ما يمشي، تقابل مع محامي باش يشوف كيفاش ينجّم ياخذ الحضانة الكاملة متاع ولدو. المحامي قاللو اللي الولاية الجديدة ما تعترفش بقرارات الطلاق متاع الولايات الأخرى، وعلى الأساس هذا نصحو اللي ينجّم ياخذ ولدو يسكن معاه بلا ما يخالف القانون. النصيحة هاذي كانت غالطة: الولاية الجديدة في الحقيقة تحترم قرارات الطلاق متاع الولايات الأخرى. في الزيارة اللي جات من بعد، خذا الراجل ولدو من عند مرتو القديمة، وعوض ما يرجّعو، هزّو يسكن معاه في الولاية الجديدة. بعد ما رفض يرجّع ولدو، تشدّ الراجل واتّهم بالاختطاف. القانون يقول اللي الاختطاف هو ""خطف شخص عن عمد ونقلو لبلاصة أخرى"". هل يلزم الراجل يتحكم عليه بالاختطاف؟|||1. آي، خاطر نقل ولدو لبلاصة أخرى بطريقة موش قانونية وخالف قرار الطلاق.
2. آي، خاطر الغلط في القانون موش دفاع.
3. لا، خاطر ما كانتش عندو النية.
4. لا، خاطر خذا نصيحة قانونية غالطة.",1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
45,marketing::176,marketing,mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,الطريقة هاذي تتستعمل باش توصّل معلومات معيّنة وتساعد في تعليم جمهور كبير من خلال برامج التلفزة والراديو. الطريقة هاذي يسمّيوها:,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
46,international_law::35,international_law,mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,"شنوّة هي مشكلة ""التجزئة"" في القانون الدولي؟|||1. التجزئة في القانون الدولي تتعلق بإمكانية اللي أنظمة قانونية مختلفة تطبّق نفس قواعد القانون الدولي
2. من الممكن اللي عدّة أنظمة قانونية (كيما قانون الاستثمار الأجنبي وقانون حقوق الإنسان) تتكوّن وتتطور بمعزل على بعضها، وفي الآخر توصل لإنتاج قواعد متباينة في القانون الدولي
3. التجزئة هي وقتلّي الدول يكون عندهم تفسيرات مختلفة لنفس قاعدة القانون الدولي
4. التجزئة هي وقتلّي الدول ما يتفقوش باش يلتزموا بقاعدة معينة من قواعد القانون الدولي",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
47,biology::210,biology,arabic_mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,فمّا ثلاثة أنواع مختلفين متاع العضلات هوما:,1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
48,jurisprudence::87,jurisprudence,mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,شنوّة هي الجملة اللي توصف أحسن العلاقة بين القانون والأخلاق عند المنظّرين القانونيين غير الوضعيين؟,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
49,history::761,history,arabic_mmlu,1,1,1,1,1,1,OK,,,1,1,1,1,1,1,OK,,OK,,False
50,geography::614,geography,arabic_mmlu,1,1,0,0,0,1,FIXABLE,TRANSLATION,مياه الخليج العربي تحيط بدولة قطر من ثلاثة جهات، وعلى هذاكة هي شبه جزيرة، وعرضها من الشرق للغرب يوصل تقريبا لـ:,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
51,high_school_psychology::184,high_school_psychology,mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,شنوّة هي التقنية اللي تتحكم في تحيّز الباحث والمشارك في نفس الوقت؟,1,1,0,0,1,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
52,law::194,law,arabic_mmlu,1,1,1,0,0,1,FIXABLE,TRANSLATION,"ينجّم يتعمل الطعن بالاستئناف في القرارات متاع الغرفة الجنائية اللي صدرت في حق الأحداث:|||1. قدام غرفة الجنايات الاستئنافية متاع الأحداث
2. قدام الغرفة الجنحية متاع الأحداث
3. الأجوبة الكل غالطين",1,1,1,1,1,1,OK,,FIXABLE,TRANSLATION,True
53,human_aging::124,human_aging,mmlu,1,1,0,0,1,1,FIXABLE,TRANSLATION,نموذج الدعم الاجتماعي اللي يقول اللي الناس القراب ليك توّا أغلبهم باش يبقاوا قراب ليك طول حياتك يتسمّى نموذج ____,1,1,0,0,0,1,FIXABLE,TRANSLATION,FIXABLE,TRANSLATION,False
