annotation_order,item_id,subject,domain_group,source,question,context,choices,gold_answer_index,gold_answer_text
11,driving_test::1161,driving_test,professional/civic,arabic_mmlu,إلا ماكانوش لوحات كيحددو السرعة، السرعة القصوى المسموح بيها داخل المناطق المأهولة كتكون:,,50 كلم\س ||| 40 كلم\س ||| 60 كلم\س,0,50 كلم\س
12,arabic_language::53,arabic_language,language,arabic_mmlu,معنى كلمة صاغ فيقول الشاعر صاغ نصر العرب فييوم الكرامة,,صاغة ||| سطع ||| فيزء ||| صنع,3,صنع
13,moral_scenarios::253,moral_scenarios,islamic/moral,mmlu,فياشمن من هاذا الحالتين عمل الشخصية الرئيسية (الي كيستعمل أنا/ليا) شي حاجة غالط أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | مرتي قالت ليا راها سخنة فيخفضت الحرارة. الحالة 2 | ملي شفت الجار كيحيد حوايجو من الشرجم، جبدت كرسي وگلست.,,غالط، غالط ||| غالط، موشي غالط ||| موشي غالط، غالط ||| موشي غالط، موشي غالط,2,موشي غالط، غالط
14,moral_scenarios::441,moral_scenarios,islamic/moral,mmlu,فياشمن من هاذا الحالتين عمل الشخصية الرئيسية (الي كيستعمل أنا/ليا) شي حاجة غالط أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | كنت شوية عيان فيركنت فيبلاصة الناس المعاقين. الحالة 2 | لحست الفاكهة قبل ما نقدمها للضياف ديالي.,,غالط، غالط ||| غالط، موشي غالط ||| موشي غالط، غالط ||| موشي غالط، موشي غالط,0,غالط، غالط
15,accounting::69,accounting,professional/civic,arabic_mmlu,"السؤال اللول: ختار رقم (أ) إلا كانت الجملة صحيحة، ورقم (ب) إلا كانت الجملة غالطة

كيقتصر هدف النظام المحاسبي في الشركات الكبيرة على تحديد نتائج أعمال المشروع
خلال فيترات زمنية وتحديد مركزو المالي فينهاية كل وحدة من هاذا الفترات بصفة دورية منتظمة:",,صح ||| غلط,1,غلط
16,natural_science::573,natural_science,STEM/health,arabic_mmlu,عملية انتقال الطاقة من كائن حي لكائن آخر في واحد المسار محدد هي:,,السلسلة الغذائية ||| المنتجات ||| المستهلكات ||| الشبكة الغذائية,0,السلسلة الغذائية
17,moral_disputes::321,moral_disputes,islamic/moral,mmlu,لنفترضو بلي ويلمان جادل بأنه كيفما عندك الحق باش ما تزوجش شي واحد اللي غادي يتضرر من رفضك، الدولة حرة باش تقصي الآخرين حتى إلا سبب ليهم ضرر. فياين غادي يجاوب بالقول بأن,,الدولة الليبرالية ما يمكنش تدعي بأنها بشكل أساسي جمعية حميمية أو تعبيرية. ||| ما عندكش الحق باش ترفض طلب زواج شرعي. ||| ما كاينش فيرق بين العلاقات الزوجية والعلاقة بين المواطن ودولتو. ||| رفض الزواج مع شي واحد ما يمكنش يكون سبب متاع الضرر.,0,الدولة الليبرالية ما يمكنش تدعي بأنها بشكل أساسي جمعية حميمية أو تعبيرية.
18,natural_science::306,natural_science,STEM/health,arabic_mmlu,كتحرك الماروح ملي كتلمسها الريح فيكتدور كتحول الطاقة من:,,كيميائية لحركية ||| كهربائية لحرارية ||| حركية لحرارية ||| حركية لكهربائية,3,حركية لكهربائية
19,professional_law::1198,professional_law,professional/civic,mmlu,"واحد الراجل كان عندو بناية متاع أربع طوابق. هاذا الراجل سلف 125,000 دولار من صاحبو باش يدير تحسينات. كمقابل للقرض، الراجل عمل ورقة دين ب 125,000 دولار خاصها تتخلص لصاحبو فيعام واحد وضمنها برهن على البناية. الرهن تعمل فياتح يناير 2008، وتسجل فيثاني يناير 2008. من بعد، فيأول فيبراير 2008، الراجل عمل عقد بيع كامل على البناية وسمى صاحبو كمشتري. هاذا العقد، رغم أنه كان شكل بيع كامل، كان غير ضمان إضافي لخلاص الدين. باش ما يحتاجش للحجز القضائي ويحيد الحق في الفداء، الراجل سلم العقد لوسيط أمانة مع تعليمات باش يعطيه لصاحبو إلا ما خلصش الورقة متاع الدين في الوقت. فياتح يناير 2009، الراجل ما خلصش الورقة ملي وصل الأجل. في الغد، الوسيط سلم العقد متاع البناية للصاحب. الصاحب سجل هاذا العقد بشكل صحيح فيثالث يناير. سيمانة من بعد، فيعاشر يناير، الصاحب باع البناية بعقد ضمان لمستثمر ب 200,000 دولار. فيثاني عشر يناير، الراجل عرض 125,000 دولار اللي كان باقي عليه للصاحب، أما هذا رفض يقبلها. توّا الراجل رفع دعوى مناسبة ضد الصاحب والمستثمر باش يبطل البيع ويسمح للراجل يفتدي الملك. شنوّة هي أحسن وصف للحقوق القانونية متاع الراجل، إلا كانت عندو، في الدعوى متاعو ضد الصاحب والمستثمر؟",,الراجل ما عندو حتى حق ضد المستثمر، أما عندو دعوى افتداء ضد الصاحب على قيمة الملك. ||| الراجل ما عندو حتى حق ضد الصاحب، أما عندو دعوى افتداء ضد المستثمر على قيمة الملك. ||| الراجل عندو الخيار يطلب الافتداء إما من الصاحب ولا من المستثمر على قيمة الملك، أما ما يقدرش يبطل البيع. ||| الراجل ما عندو حتى حق لا ضد الصاحب ولا ضد المستثمر خاطر ما خلصش الورقة متاع الدين.,0,الراجل ما عندو حتى حق ضد المستثمر، أما عندو دعوى افتداء ضد الصاحب على قيمة الملك.
20,computer_science::172,computer_science,STEM/health,arabic_mmlu,أحسن تعبير على الإنترنت هو  ,,برنامج البريد الإلكتروني بوحدو ||| شبكة الويب العالمية بوحدها ||| عبارة على دمج متاع البريد الإلكتروني وشبكة الويب العالمية ||| برنامج التجارة الإلكترونية,2,عبارة على دمج متاع البريد الإلكتروني وشبكة الويب العالمية
21,islamic_studies::895,islamic_studies,islamic/moral,arabic_mmlu,أول وحدة آمنات من النساء هي خديجة بنت خويلد .,,صحيح ||| غالط,0,صحيح
22,driving_test::1069,driving_test,professional/civic,arabic_mmlu,شنوّة النتيجة متاع تجاوز دورات الموتور 2000 دورة في الدقيقة؟,,زيادة فياستهلاك الكارو ||| نقصان فياستهلاك الكارو ||| زيادة فيدرجة الحرارة متاع الموتور,0,زيادة فياستهلاك الكارو
23,high_school_world_history::119,high_school_world_history,humanities/history,mmlu,"هاذا السؤال كيتعلق بالمعلومات التالية.
""أكبر مساهمة الي يمكن لأفريقيا تقدمها للسلام في العالم هي تجنب كل الخطورات الي كاينين في التفرقة، من خلال خلق اتحاد سياسي الي غادي يكون بنجاحو مثال لعالم مقسم. اتحاد الدول الأفريقية غادي يعكس بشكل أفضل الشخصية الأفريقية. غادي يفرض الاحترام من عالم الي كيهتم غير بالحجم والتأثير. قلة الاهتمام بالمعارضة الأفريقية للتجارب النووية الفرنسية في الصحراء، والمشهد المخزي للأمم المتحدة في الكونغو الي كتناقش التفاصيل الدستورية بينما الجمهورية كانت كتطيح في الفوضى، هاذي كلهم دلائل على التجاهل القاسي للاستقلال الأفريقي من طرف القوى العظمى.""
كوامي نكروما، الزعيم الغاني، 1961
هاذا النص كيمثل بوضوح أكثر أي وحدة من هاذي؟",,ردود الفعل على محاولات الوحدة الفاشلة فيأفريقيا ||| نداء للأمم المتحدة باش تتدخل فيأفريقيا ||| اقتراح لتحسين مكانة أفريقيا في العالم الحديث ||| معارضة قوية لتأثير الرأسمالية فيأفريقيا,2,اقتراح لتحسين مكانة أفريقيا في العالم الحديث
24,logical_fallacies::27,logical_fallacies,humanities/history,mmlu,المغالطة متاع الاستناد للسلطة المجهولة كتكون من,,الاستدلال بأن شي فيعل ولا سلسلة متاع الأفعال خاصها تعمل خاطر ما غاديش يكون ليها شي نتائج مهمة، فيحين ما فما حتى شي دليل على أنه ما غاديش تكون شي نتائج. ||| الاستدلال بأن شي ادعاء خاصو يتقبل على أساس الدليل بأن برشا متاع الناس كيقبلوه ||| الاستدلال بأن شي حاجة خاصها تعمل خاطر دارت في الماضي ||| الاستدلال بأن شي ادعاء خاصو يتقبل غير على أساس التأكيد بأن سلطات مجهولة كيقبلوه,3,الاستدلال بأن شي ادعاء خاصو يتقبل غير على أساس التأكيد بأن سلطات مجهولة كيقبلوه
25,civics::23,civics,professional/civic,arabic_mmlu,شنوة موقف الشريف الحسين من الدولة العثمانية قبل ما يعلن على الثورة؟ ,,العداء للاتحاديين ||| العداء للدولة ||| العداء للسلطان |||  كل شي الي تقال صحيح,0,العداء للاتحاديين
26,high_school_government_and_politics::137,high_school_government_and_politics,professional/civic,mmlu,شكون من هاذا المناصب موشي منصب يلزم كيتعطى لعضو في الكونغريس؟,,رئيس مؤقت لمجلس الشيوخ ||| رئيس مجلس النواب ||| رئيس مؤسسة إدارة الكونغريس ||| نائب زعيم الأقلية,2,رئيس مؤسسة إدارة الكونغريس
27,high_school_psychology::174,high_school_psychology,humanities/history,mmlu,فيشد الحبل متاع الفريق، تاي ما شدش برشا كيف إلا كان غادي يشد بوحدو ضد واحد آخر. هاذا السلوك متاعو كيمثل,,التجرد من الفردية ||| التفكير الجماعي ||| التكاسل الاجتماعي ||| تأثير المتفرج,2,التكاسل الاجتماعي
28,logical_fallacies::132,logical_fallacies,humanities/history,mmlu,سيلوجيزم ديسجونكتيف صحيح عندو مقدمة كبرى الي:,,فييها زوز بدايل ولا كتر ||| كتصنف المواضيع ||| كتأكد المقدم ولا كتنفي التالي ||| كتوصل لنتيجة صحيحة,0,فييها زوز بدايل ولا كتر
29,nutrition::103,nutrition,STEM/health,mmlu,"شنوّة من هاذا الحوايج صحيحة على تشخيص 'أوستيوبينيا' ولا 'أوستيوبوروز' فيشمال أمريكا وأوروبا الغربية
",,النسا اللي فياتو 80 عام وعندهم أوستيوبينيا كتكون عندهم كثافة العظام فيوق المعدل متاع عمرهم ||| قل من 10% من النسا اللي فياتو 50 عام عندهم أوستيوبينيا ||| قل من 50% من النسا اللي فياتو 80 عام عندهم أوستيوبينيا ولا أوستيوبوروز ||| أوستيوبوروز كيتعرف بأنه كثافة العظام أقل من 2.5 انحراف معياري تحت المعدل متاع الناس اللي فينفس العمر.,0,النسا اللي فياتو 80 عام وعندهم أوستيوبينيا كتكون عندهم كثافة العظام فيوق المعدل متاع عمرهم
30,professional_psychology::47,professional_psychology,humanities/history,mmlu,البنزوديازيبين يلزم يتستعمل بحذر خاطر _________.,,غاليين برشا ||| يقدرو يسببو الإدمان ||| يقدرو يسببو نقص الكريات البيض ||| ما فما حتى سبب باش نستعملوهم,1,يقدرو يسببو الإدمان
31,arabic_language::457,arabic_language,language,arabic_mmlu,حدد من هاذا الشي الي جاي واحد من مظاهر القديم الي باينين في هاذا الجوج د البيات.,"ألا حي من أسماء رسم المنازلوإن هي لم ترجع بيانا لسائل
خلاء تعفتها الروامس والتقتعليها أهاضيب الغيوم الحوافل",بداية القصيدة بوصف الأطلال. ||| التشاؤم والاستسلام للألم. ||| بداية القصيدة بالغزل التقليدي. ||| الاهتمام بالنفس أكثر من الغير.,0,بداية القصيدة بوصف الأطلال.
32,arabic_language_(general)::557,arabic_language_(general),language,arabic_mmlu,"قرا النص القصير اللي جاي وختار الجواب المناسب ل [فيراغ] اللي غايكمل الجملة بشكل صحيح
 أداة الربط (في) فيقولو (فيربهم واحد) كتعني [فيراغ].",مميزات العالم الإسلامي بدات الدعوة الإسلامية في الجزيرة العربية في القرن السابع الميلادي، وانتشرات بسرعة خارج الجزيرة العربية، وبعد قرن ضمات مساحة واسعة من الكرة الأرضية، شملات المنطقة من الصين حتى المحيط الأطلسي في الغرب، ومن البحر الأسود وسيبيريا في الشمال، حتى المحيط الهندي في الجنوب. دخلو شعوب برشا في الإسلام بإرادتهم؛ خاطر حيد عليهم الظلم، وحقق ليهم العدل، والإسلام جعل من المسلمين أمة وحدة، هي الأمة الإسلامية، قال الله تعالى: ﴿إن هذه أمتكم أمة واحدة وأنا ربكم فياعبدون﴾، ووحد الإسلام بين المسلمين، بالرغم من اختلاف أعراقهم وألوانهم ولغاتهم وبيئاتهم؛ فيربهم واحد، وتابهم واحد، ورسولهم واحد، وقبلتهم وحدة. العالم الإسلامي عندو مزايا برشا خلاتو من أهم المناطق في العالم فيمن جهة هو كيف القلب لآسيا وإفريقيا وأوروبا، ويشرف على برشا متاع الممرات المائية، كيف البحر الأحمر والبحر الأبيض المتوسط، وبحر العرب والخليج العربي والمحيط الأطلسي والمحيط الهندي والمحيط الهادي وفالعالم الإسلامي ثروات زراعية ومعدنية وحيوانية برشا.,خاطر ||| أن ||| موشي ||| ماغاديش,0,خاطر
33,biology::834,biology,STEM/health,arabic_mmlu,كيتم إفراز الهرمونات من الغدد,,الصماء بوحدها ||| القنوية بوحدها ||| المشتركة بوحدها ||| الصماء والمختلطة,3,الصماء والمختلطة
34,international_law::115,international_law,professional/civic,mmlu,"شنوّة هو ""النتيجة العادلة"" في القانون والممارسة متاع تحديد الحدود البحرية؟",,هي الطريقة الوحيدة متاع تحديد الحدود اللي كيتبعوها المحاكم والهيئات الدولية ||| النتيجة العادلة هي بالاكشي اللي غادي يقرر القاضي ولا المحكم حسب رأيو وحسب بالاكشي اللي كيشوفو عادل ومنصف فيقضية تحديد الحدود ||| هي النتيجة النهائية اللي يلزم كل تحديدات متاع مناطق الجرف القاري والمنطقة الاقتصادية الخالصة يوصلو ليها، أما من بعد ما يرسمو خط مؤقت متساوي المسافة ويعدلو المنطقة على حساب الظروف المعنية واختبار التناسب ||| تحقيق نتيجة عادلة هي طريقة قديمة متاع تحديد الحدود اللي ماكتطبقش توّا,2,هي النتيجة النهائية اللي يلزم كل تحديدات متاع مناطق الجرف القاري والمنطقة الاقتصادية الخالصة يوصلو ليها، أما من بعد ما يرسمو خط مؤقت متساوي المسافة ويعدلو المنطقة على حساب الظروف المعنية واختبار التناسب
35,biology::1157,biology,STEM/health,arabic_mmlu,نباتات كتكاثر بتكوين الجراثيم,,نباتات زهرية ||| نباتات بذرية ||| سراخس ||| كاع الأجوبة اللي قبل صحيحة,2,سراخس
36,driving_test::441,driving_test,professional/civic,arabic_mmlu,شكون هوما أكثر ناس اللي كيستعملو الطريق ومعرضين للخطر,,المشاة ||| اللي راكبين البيسكليتات ||| اللي راكبين الموطوات |||  كل شي اللي تقال,3, كل شي اللي تقال
37,computer_science::8,computer_science,STEM/health,arabic_mmlu,باش تطيح برنامج سكراتش من موقع com.Google. ,,صحيح ||| غلط,1,غلط
38,arabic_language::588,arabic_language,language,arabic_mmlu,جملة قرآنية وحدة بس فييها ضمير نصب منفصل,,((هو الله اللي ما فما إله غير هو)) ||| ((وبهاد الشي تأمرت وأنا أول المسلمين)) ||| ((وحنا قراب ليه أكثر من حبل الوريد)) ||| ((إياك نعبدو)),3,((إياك نعبدو))
39,islamic_studies::1112,islamic_studies,islamic/moral,arabic_mmlu,قال تعالى :)وقولوا للناس حسنا)، كيرجع على بالاكشي الي كيطيح تحت مسؤولية الأسرة والمجتمع,,تربية الدراري على الكلام المزيان ||| نشر ثقافة الكلام المزيان وتأكيدها ||| تعزيز دور القدوة في المجتمع,1,نشر ثقافة الكلام المزيان وتأكيدها
40,moral_scenarios::67,moral_scenarios,islamic/moral,mmlu,فياشمن من هاذا الحالتين عمل الشخصية الرئيسية (الي كيستعمل أنا/ليا/ديالي) شي حاجة غالط أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | خلاص ليا الصباغة متاع الوجه باش نصاوب لولدي الكسوة متاع الهالوين، فياستعملت صباغة الموبيليا خاطر كان خاصني ندبر راسي. الحالة 2 | عاونتو في الدراسة بحيث درت ليه البحث متاعو.,,غالط، غالط ||| غالط، موشي غالط ||| موشي غالط، غالط ||| موشي غالط، موشي غالط,0,غالط، غالط
41,marketing::105,marketing,professional/civic,mmlu,تعطية دياشانتيونات بلاش متاع لعطور (ريحة) في المجلات هي مثال على شنوّة من هاذا شي الي جاي؟,,التكييف الكلاسيكي. ||| التكييف الإجرائي. ||| التعلم الاجتماعي. ||| التعلم السلوكي.,0,التكييف الكلاسيكي.
42,geography::1169,geography,humanities/history,arabic_mmlu,درجة 45 كيكون اتجاه الرياح عندها :,,جنوبية شرقية ||| شمالية شرقية ||| شمالية غربية ||| جنوبية غربية,1,شمالية شرقية
43,driving_test::127,driving_test,professional/civic,arabic_mmlu,إلا كانت البطارية متاع طوموبيلتك ضعيفة وبغيتي تشغلها من بطارية خرى بواسطة كابل (مشترك) خاصك دير هاذا الشي,,كتحط الإصبع السالب (-) على الإصبع السالب (-) والإصبع الموجب (+) على الإصبع السالب (-) ||| كتحط الإصبع الموجب (+) على الإصبع الموجب (+) والإصبع السالب (-) على الإصبع السالب (-) ||| كتحط الإصبع الموجب (+) على الإصبع السالب (-) والإصبع السالب (-) على الإصبع الموجب(+),1,كتحط الإصبع الموجب (+) على الإصبع الموجب (+) والإصبع السالب (-) على الإصبع السالب (-)
44,professional_law::318,professional_law,professional/civic,mmlu,واحد الراجل وواحد المرا طلقو بعد 17 عام من الزواج. كان عندهم ولد واحد عندو 10 سنين. في الطلاق، المرا خدات الحضانة متاع الولد، والراجل كان عندو الحق يشوفو في الويكاند. من بعد، الراجل قبل خدمة جديدة فيبلاصة خرى. قبل ما يمشي، الراجل تلاقى مع محامي باش يشوف كيفاش يقدر ياخد الحضانة الكاملة متاع ولدو. المحامي قال للراجل بلي البلاصة الجديدة ما كتعترفش بقرارات الطلاق متاع البلاد الي كان ساكن فييها قبل. وعلى هاذا الساس، المحامي نصح الراجل بلي يقدر ياخد ولدو يسكن معاه بلا ما يخالف القانون. هاذا النصيحة كانت غالطة، والبلاصة الجديدة في الحقيقة كانت كتحترم قرارات الطلاق متاع البلدان الاخرى. في الزيارة الي جات من بعد، الراجل خدا ولدو من عمل مراتو القديمة. وعوض ما يرجعو، داه يسكن معاه في البلاصة الجديدة. من بعد ما رفض يرجع ولدو لمراتو القديمة، تقبض الراجل وتهم بالاختطاف. القانون كيقول بلي الاختطاف هو 'خطف شي واحد عن عمد ونقلو لشي بلاصة خرى'. شنوّة يلزم الراجل يتحكم عليه بالاختطاف؟,,آه، خاطر نقل ولدو لبلاصة خرى بطريقة غير قانونية، وخالف قرار الطلاق. ||| آه، خاطر الغلط في القانون موشي دفاع. ||| لا، خاطر ما كانش عندو النية. ||| لا، خاطر خدا نصيحة قانونية غالطة.,2,لا، خاطر ما كانش عندو النية.
45,marketing::176,marketing,professional/civic,mmlu,هاذا الطريقة تستعمل باش توصل معلومات معينة وتساعد فيتعليم جمهور كبير من خلال برامج التلفزة والراديو. هاذا الطريقة كيسميوها:,,تابعين الرأي. ||| مكونين الرأي. ||| العلاقات العامة. ||| قادة الرأي.,3,قادة الرأي.
46,international_law::35,international_law,professional/civic,mmlu,"شنوّة هي المشكلة متاع ""التجزئة"" متاع القانون الدولي؟",,التجزئة متاع القانون الدولي كتعلق بإمكانية أن أنظمة قانونية مختلفة كتطبق نفس القواعد متاع القانون الدولي ||| ممكن لعدة أنظمة قانونية (كيف قانون الاستثمار الأجنبي وقانون حقوق الإنسان) باش يكونو ويتطورو بمعزل على بعضياتهم، وف الآخر كيوصلو لإنتاج قواعد متباينة متاع القانون الدولي ||| التجزئة هي منين الدول كيكون عندهم تفسيرات مختلفة لنفس القاعدة متاع القانون الدولي ||| التجزئة هي منين الدول ما كيتفقوش باش يلتزمو بواحد القاعدة معينة متاع القانون الدولي,1,ممكن لعدة أنظمة قانونية (كيف قانون الاستثمار الأجنبي وقانون حقوق الإنسان) باش يكونو ويتطورو بمعزل على بعضياتهم، وف الآخر كيوصلو لإنتاج قواعد متباينة متاع القانون الدولي
47,biology::210,biology,STEM/health,arabic_mmlu,كاينين تلت أنواع مختلفين متاع العضلات هما,,الهيكلية والمخططة والملساء ||| الهيكلية والملساء والقلبية ||| المخططة والغير مخططة والقلبية,1,الهيكلية والملساء والقلبية
48,jurisprudence::87,jurisprudence,islamic/moral,mmlu,شنوّة هي الجملة الي كتوصف مزيان العلاقة بين القانون والأخلاق عند المنظرين القانونيين غير الوضعيين؟,,ما فما حتى علاقة بين القانون والأخلاق. ||| القانون ديما متقدم على الأفكار الأخلاقية. ||| القانون مرتبط بشكل وثيق مع الأخلاق. ||| الأخلاق عموما متقدمة على القانون.,2,القانون مرتبط بشكل وثيق مع الأخلاق.
49,history::761,history,humanities/history,arabic_mmlu,من مؤلفات الملك الحسين بن طلال :,,المذكرات ||| حربنا مع إسرائيل ||| الأمالي السياسية ||| خواطر النسيم,1,حربنا مع إسرائيل
50,geography::614,geography,humanities/history,arabic_mmlu,كتحيط مياه الخليج العربي بدولة قطر من تلت جهات فيهي بهاد الشي شبه جزيرة كيوصل عرضها من الشرق للغرب لحوالي :,,85 كيلومتر ||| 75 كيلومتر ||| 70 كيلومتر ||| 65 كيلومتر,0,85 كيلومتر
51,high_school_psychology::184,high_school_psychology,humanities/history,mmlu,شنوّة هي التقنية الي كتحكم في التحيز متاع الباحث والمشارك الزوز؟,,خصائص الطلب ||| دراسة مزدوجة التعمية ||| دراسة أحادية التعمية ||| تأثير هاوثورن,1,دراسة مزدوجة التعمية
52,law::194,law,professional/civic,arabic_mmlu,ممكن الطعن بالاستئناف في القرارات متاع الغرفة الجنائية اللي صدرات فيحق الأحداث:,,قدام غرفة الجنايات الاستئنافية متاع الأحداث ||| قدام الغرفة الجنحية متاع الأحداث ||| كاع الأجوبة غالطين,0,قدام غرفة الجنايات الاستئنافية متاع الأحداث
53,human_aging::124,human_aging,STEM/health,mmlu,النموذج متاع الدعم الاجتماعي اللي كيقول بلي هادوك اللي قراب ليك توّا غالبا غايبقاو قراب ليك طول حياتك كيتسمى نموذج ____,,الاستمرارية ||| القافلة ||| الارتباط ||| القطار,1,القافلة
