item_id,subject,source,gold,pred,correct,raw
math::93,math,arabic_mmlu,2,2,1,2
nutrition::143,nutrition,mmlu,4,4,1,4
nutrition::63,nutrition,mmlu,2,2,1,2
logical_fallacies::134,logical_fallacies,mmlu,3,3,1,3
professional_law::72,professional_law,mmlu,3,3,1,3
arabic_language_(grammar)::19,arabic_language_(grammar),arabic_mmlu,1,1,1,1
management_ar::45,management_ar,arabic_mmlu,2,2,1,2
social_science::288,social_science,arabic_mmlu,4,4,1,4
history::328,history,arabic_mmlu,1,1,1,1
professional_psychology::196,professional_psychology,mmlu,2,2,1,2
high_school_psychology::41,high_school_psychology,mmlu,4,4,1,4
high_school_statistics::200,high_school_statistics,mmlu,4,4,1,4
islamic_studies::1501,islamic_studies,arabic_mmlu,3,3,1,3
computer_science::253,computer_science,arabic_mmlu,3,3,1,3
general_knowledge::958,general_knowledge,arabic_mmlu,2,2,1,2
civics::0,civics,arabic_mmlu,1,4,0,4
natural_science::162,natural_science,arabic_mmlu,1,1,1,1
high_school_geography::58,high_school_geography,mmlu,2,2,1,2
driving_test::241,driving_test,arabic_mmlu,4,4,1,4
driving_test::966,driving_test,arabic_mmlu,3,3,1,3
arabic_language_(general)::343,arabic_language_(general),arabic_mmlu,3,3,1,3
biology::1225,biology,arabic_mmlu,2,2,1,2
political_science::145,political_science,arabic_mmlu,1,1,1,1
philosophy::112,philosophy,mmlu,2,2,1,2
geography::475,geography,arabic_mmlu,4,4,1,4
biology::434,biology,arabic_mmlu,1,1,1,1
history::576,history,arabic_mmlu,1,1,1,1
marketing::132,marketing,mmlu,3,3,1,3
physics::241,physics,arabic_mmlu,4,4,1,4
management::42,management,mmlu,2,2,1,2
math::279,math,arabic_mmlu,4,4,1,4
security_studies::93,security_studies,mmlu,4,4,1,4
computer_science::14,computer_science,arabic_mmlu,2,2,1,2
professional_law::1340,professional_law,mmlu,3,2,0,2
professional_psychology::388,professional_psychology,mmlu,3,3,1,3
high_school_statistics::84,high_school_statistics,mmlu,1,1,1,1
islamic_studies::1120,islamic_studies,arabic_mmlu,4,4,1,4
general_knowledge::612,general_knowledge,arabic_mmlu,4,4,1,4
history::492,history,arabic_mmlu,3,3,1,3
economics::234,economics,arabic_mmlu,2,2,1,2
history::510,history,arabic_mmlu,4,4,1,4
history::638,history,arabic_mmlu,2,2,1,2
security_studies::88,security_studies,mmlu,2,2,1,2
islamic_studies::1483,islamic_studies,arabic_mmlu,2,2,1,2
philosophy::76,philosophy,mmlu,2,2,1,2
philosophy::48,philosophy,mmlu,4,4,1,4
biology::43,biology,arabic_mmlu,2,2,1,2
professional_law::875,professional_law,mmlu,1,1,1,1
sociology::167,sociology,mmlu,2,2,1,2
moral_disputes::243,moral_disputes,mmlu,1,1,1,1
global_facts::41,global_facts,mmlu,2,2,1,2
philosophy::261,philosophy,mmlu,3,3,1,3
philosophy_ar::32,philosophy_ar,arabic_mmlu,1,1,1,1
moral_scenarios::319,moral_scenarios,mmlu,3,3,1,3
high_school_world_history::116,high_school_world_history,mmlu,3,3,1,3
law::6,law,arabic_mmlu,4,4,1,4
world_religions::36,world_religions,mmlu,4,4,1,4
high_school_statistics::88,high_school_statistics,mmlu,4,4,1,4
driving_test::821,driving_test,arabic_mmlu,3,3,1,3
human_aging::141,human_aging,mmlu,1,1,1,1
professional_psychology::537,professional_psychology,mmlu,4,4,1,4
general_knowledge::596,general_knowledge,arabic_mmlu,3,3,1,3
moral_disputes::293,moral_disputes,mmlu,3,3,1,3
geography::591,geography,arabic_mmlu,2,2,1,2
management_ar::8,management_ar,arabic_mmlu,2,2,1,2
moral_scenarios::843,moral_scenarios,mmlu,3,3,1,3
general_knowledge::910,general_knowledge,arabic_mmlu,4,4,1,4
high_school_government_and_politics::135,high_school_government_and_politics,mmlu,4,4,1,4
political_science::172,political_science,arabic_mmlu,3,3,1,3
natural_science::338,natural_science,arabic_mmlu,1,1,1,1
high_school_world_history::178,high_school_world_history,mmlu,1,1,1,1
sociology::134,sociology,mmlu,4,4,1,4
