annotation_order,item_id,subject,domain_group,source,question,context,choices,gold_answer_index,gold_answer_text
22,driving_test::1069,driving_test,professional/civic,arabic_mmlu,"شنوّة النتيجة متاع تجاوز دورات الموتور 2000 دورة في الدقيقة؟|||1. زيادة في استهلاك الكاربيران
2. نقصان في استهلاك الكاربيران
3. زيادة في درجة حرارة الموتور",,زيادة فياستهلاك الكارو ||| نقصان فياستهلاك الكارو ||| زيادة فيدرجة الحرارة متاع الموتور,0,زيادة فياستهلاك الكارو
23,high_school_world_history::119,high_school_world_history,humanities/history,mmlu,"السؤال هذا يتعلّق بالمعلومات التالية.
""أكبر مساهمة تنجّم إفريقيا تقدّمها للسلام في العالم هي اللي تتجنّب المخاطر الموجودة في التفرقة الكل، من خلال خلق اتحاد سياسي باش يكون بنجاحو مثال لعالم مقسّم. اتحاد الدول الإفريقية باش يعكس بشكل أفضل الشخصية الإفريقية. باش يفرض الاحترام من عالم ما يهتم كان بالحجم والتأثير. قلّة الاهتمام بالمعارضة الإفريقية للتجارب النووية الفرنسية في الصحراء، والمشهد المخزي متاع الأمم المتحدة في الكونغو وهي تتناقش في التفاصيل الدستورية والجمهورية طايحة في الفوضى، هاذم الكل دلائل على التجاهل القاسي للاستقلال الإفريقي من طرف القوى العظمى.""
كوامي نكروما، الزعيم الغاني، 1961
النص هذا أوضح ما يمثّل اناهي وحدة من هاذم؟|||1. ردود الفعل على محاولات الوحدة الفاشلة في إفريقيا
2. نداء للأمم المتحدة باش تتدخّل في إفريقيا
3. اقتراح لتحسين مكانة إفريقيا في العالم الحديث
4. معارضة قوية لتأثير الرأسمالية في إفريقيا",,ردود الفعل على محاولات الوحدة الفاشلة فيأفريقيا ||| نداء للأمم المتحدة باش تتدخل فيأفريقيا ||| اقتراح لتحسين مكانة أفريقيا في العالم الحديث ||| معارضة قوية لتأثير الرأسمالية فيأفريقيا,2,اقتراح لتحسين مكانة أفريقيا في العالم الحديث
24,logical_fallacies::27,logical_fallacies,humanities/history,mmlu,"مغالطة الاستناد لسلطة مجهولة تتمثّل في:|||1. الاستدلال اللي فعل معيّن ولاّ سلسلة أفعال لازمها تتعمل خاطر ما باش يكونلها حتى نتائج مهمة، والحال ما فما حتى دليل اللي ما باش يكون حتى نتائج.
2. الاستدلال اللي ادّعاء معيّن لازم يتقبل على أساس اللي برشا ناس يقبلوا فيه.
3. الاستدلال اللي حاجة معيّنة لازم تتعمل خاطر كانت تتعمل في الماضي.
4. الاستدلال اللي ادّعاء معيّن لازم يتقبل كان على أساس التأكيد اللي سلطات مجهولة تقبل فيه.",,الاستدلال بأن شي فيعل ولا سلسلة متاع الأفعال خاصها تعمل خاطر ما غاديش يكون ليها شي نتائج مهمة، فيحين ما فما حتى شي دليل على أنه ما غاديش تكون شي نتائج. ||| الاستدلال بأن شي ادعاء خاصو يتقبل على أساس الدليل بأن برشا متاع الناس كيقبلوه ||| الاستدلال بأن شي حاجة خاصها تعمل خاطر دارت في الماضي ||| الاستدلال بأن شي ادعاء خاصو يتقبل غير على أساس التأكيد بأن سلطات مجهولة كيقبلوه,3,الاستدلال بأن شي ادعاء خاصو يتقبل غير على أساس التأكيد بأن سلطات مجهولة كيقبلوه
25,civics::23,civics,professional/civic,arabic_mmlu,شنوة موقف الشريف الحسين من الدولة العثمانية قبل ما يعلن على الثورة؟ ,,العداء للاتحاديين ||| العداء للدولة ||| العداء للسلطان |||  كل شي الي تقال صحيح,0,العداء للاتحاديين
26,high_school_government_and_politics::137,high_school_government_and_politics,professional/civic,mmlu,اناهو منصب من المناصب هاذم موش من اللازم يتسند لعضو في الكونغريس؟,,رئيس مؤقت لمجلس الشيوخ ||| رئيس مجلس النواب ||| رئيس مؤسسة إدارة الكونغريس ||| نائب زعيم الأقلية,2,رئيس مؤسسة إدارة الكونغريس
27,high_school_psychology::174,high_school_psychology,humanities/history,mmlu,في لعبة شدّ الحبل بالفريق، تاي ما يجبدش بنفس القوة اللي يجبد بيها لو كان وحدو ضد واحد آخر. السلوك هذا يمثّل:,,التجرد من الفردية ||| التفكير الجماعي ||| التكاسل الاجتماعي ||| تأثير المتفرج,2,التكاسل الاجتماعي
28,logical_fallacies::132,logical_fallacies,humanities/history,mmlu,"القياس الانفصالي الصحيح عندو مقدّمة كبرى:|||1. فيها زوز بدائل ولاّ أكثر
2. تصنّف في المواضيع
3. تأكّد المقدَّم ولاّ تنفي التالي
4. توصل لنتيجة صحيحة",,فييها زوز بدايل ولا كتر ||| كتصنف المواضيع ||| كتأكد المقدم ولا كتنفي التالي ||| كتوصل لنتيجة صحيحة,0,فييها زوز بدايل ولا كتر
29,nutrition::103,nutrition,STEM/health,mmlu,"شنوّة من الحاجات هاذي صحيح على تشخيص ""أوستيوبينيا"" ولاّ ""أوستيوبوروز"" في أمريكا الشمالية وأوروبا الغربية؟|||1. النساء اللي فاتوا الـ80 سنة وعندهم أوستيوبينيا تكون عندهم كثافة عظام فوق المعدّل متاع عمرهم
2. أقل من 10% من النساء اللي فاتوا الـ50 سنة عندهم أوستيوبينيا
3. أقل من 50% من النساء اللي فاتوا الـ80 سنة عندهم أوستيوبينيا ولاّ أوستيوبوروز
4. الأوستيوبوروز يتعرّف على أساس كثافة عظام أنقص من معدّل الناس اللي في نفس العمر بـ2.5 انحراف معياري.",,النسا اللي فياتو 80 عام وعندهم أوستيوبينيا كتكون عندهم كثافة العظام فيوق المعدل متاع عمرهم ||| قل من 10% من النسا اللي فياتو 50 عام عندهم أوستيوبينيا ||| قل من 50% من النسا اللي فياتو 80 عام عندهم أوستيوبينيا ولا أوستيوبوروز ||| أوستيوبوروز كيتعرف بأنه كثافة العظام أقل من 2.5 انحراف معياري تحت المعدل متاع الناس اللي فينفس العمر.,0,النسا اللي فياتو 80 عام وعندهم أوستيوبينيا كتكون عندهم كثافة العظام فيوق المعدل متاع عمرهم
30,professional_psychology::47,professional_psychology,humanities/history,mmlu,البنزوديازيبين يلزم يتستعمل بحذر خاطر _________.,,غاليين برشا ||| يقدرو يسببو الإدمان ||| يقدرو يسببو نقص الكريات البيض ||| ما فما حتى سبب باش نستعملوهم,1,يقدرو يسببو الإدمان
31,arabic_language::457,arabic_language,language,arabic_mmlu,"حدّد من اللي جاي مظهر من مظاهر ""القديم"" اللي باينين في الزوز أبيات هاذم.","ألا حي من أسماء رسم المنازلوإن هي لم ترجع بيانا لسائل
خلاء تعفتها الروامس والتقتعليها أهاضيب الغيوم الحوافل",بداية القصيدة بوصف الأطلال. ||| التشاؤم والاستسلام للألم. ||| بداية القصيدة بالغزل التقليدي. ||| الاهتمام بالنفس أكثر من الغير.,0,بداية القصيدة بوصف الأطلال.
32,arabic_language_(general)::557,arabic_language_(general),language,arabic_mmlu,"اقرا النص القصير اللي جاي واختار الجواب المناسب للـ[فراغ] باش تتكمّل الجملة بشكل صحيح:
أداة الربط (فَـ) في قولو (فربّهم واحد) تعني [فراغ].|||1. خاطر
2. أن
3. موش
4. موش باش",مميزات العالم الإسلامي بدات الدعوة الإسلامية في الجزيرة العربية في القرن السابع الميلادي، وانتشرات بسرعة خارج الجزيرة العربية، وبعد قرن ضمات مساحة واسعة من الكرة الأرضية، شملات المنطقة من الصين حتى المحيط الأطلسي في الغرب، ومن البحر الأسود وسيبيريا في الشمال، حتى المحيط الهندي في الجنوب. دخلو شعوب برشا في الإسلام بإرادتهم؛ خاطر حيد عليهم الظلم، وحقق ليهم العدل، والإسلام جعل من المسلمين أمة وحدة، هي الأمة الإسلامية، قال الله تعالى: ﴿إن هذه أمتكم أمة واحدة وأنا ربكم فياعبدون﴾، ووحد الإسلام بين المسلمين، بالرغم من اختلاف أعراقهم وألوانهم ولغاتهم وبيئاتهم؛ فيربهم واحد، وتابهم واحد، ورسولهم واحد، وقبلتهم وحدة. العالم الإسلامي عندو مزايا برشا خلاتو من أهم المناطق في العالم فيمن جهة هو كيف القلب لآسيا وإفريقيا وأوروبا، ويشرف على برشا متاع الممرات المائية، كيف البحر الأحمر والبحر الأبيض المتوسط، وبحر العرب والخليج العربي والمحيط الأطلسي والمحيط الهندي والمحيط الهادي وفالعالم الإسلامي ثروات زراعية ومعدنية وحيوانية برشا.,خاطر ||| أن ||| موشي ||| ماغاديش,0,خاطر
33,biology::834,biology,STEM/health,arabic_mmlu,الهرمونات تتفرز من الغدد:,,الصماء بوحدها ||| القنوية بوحدها ||| المشتركة بوحدها ||| الصماء والمختلطة,3,الصماء والمختلطة
34,international_law::115,international_law,professional/civic,mmlu,"شنوّة هي ""النتيجة العادلة"" في قانون وممارسة تحديد الحدود البحرية؟|||1. هي الطريقة الوحيدة لتحديد الحدود اللي تتبعها المحاكم والهيئات الدولية
2. النتيجة العادلة هي اللي يقررو القاضي ولاّ المحكّم حسب رأيو وحسب اللي يشوفو عادل ومنصف في قضية تحديد الحدود
3. هي النتيجة النهائية اللي لازم توصلّها كل عمليات تحديد مناطق الجرف القاري والمنطقة الاقتصادية الخالصة، أما بعد ما يترسم خط مؤقت متساوي المسافة وتتعدّل المنطقة على حساب الظروف المعنية واختبار التناسب
4. تحقيق نتيجة عادلة طريقة قديمة لتحديد الحدود ماعادش تتطبق توّا",,هي الطريقة الوحيدة متاع تحديد الحدود اللي كيتبعوها المحاكم والهيئات الدولية ||| النتيجة العادلة هي بالاكشي اللي غادي يقرر القاضي ولا المحكم حسب رأيو وحسب بالاكشي اللي كيشوفو عادل ومنصف فيقضية تحديد الحدود ||| هي النتيجة النهائية اللي يلزم كل تحديدات متاع مناطق الجرف القاري والمنطقة الاقتصادية الخالصة يوصلو ليها، أما من بعد ما يرسمو خط مؤقت متساوي المسافة ويعدلو المنطقة على حساب الظروف المعنية واختبار التناسب ||| تحقيق نتيجة عادلة هي طريقة قديمة متاع تحديد الحدود اللي ماكتطبقش توّا,2,هي النتيجة النهائية اللي يلزم كل تحديدات متاع مناطق الجرف القاري والمنطقة الاقتصادية الخالصة يوصلو ليها، أما من بعد ما يرسمو خط مؤقت متساوي المسافة ويعدلو المنطقة على حساب الظروف المعنية واختبار التناسب
35,biology::1157,biology,STEM/health,arabic_mmlu,"نباتات تتكاثر بتكوين الجراثيم (الأبواغ):|||1. نباتات زهرية
2. نباتات بذرية
3. سراخس
4. الأجوبة الكل اللي قبل صحيحة",,نباتات زهرية ||| نباتات بذرية ||| سراخس ||| كاع الأجوبة اللي قبل صحيحة,2,سراخس
36,driving_test::441,driving_test,professional/civic,arabic_mmlu,"شكونهم أكثر مستعملي الطريق المعرّضين للخطر؟|||1. المشاة
2. أصحاب البسكلات
3. أصحاب الموطوات
4. الكل اللي تقال",,المشاة ||| اللي راكبين البيسكليتات ||| اللي راكبين الموطوات |||  كل شي اللي تقال,3, كل شي اللي تقال
37,computer_science::8,computer_science,STEM/health,arabic_mmlu,تنجّم تنزّل برنامج سكراتش من موقع Google.com.,,صحيح ||| غلط,1,غلط
38,arabic_language::588,arabic_language,language,arabic_mmlu,"جملة قرآنية وحدة برك فيها ضمير نصب منفصل:|||1. ﴿هو الله الذي لا إله إلا هو﴾
2. ﴿وبذلك أُمرت وأنا أول المسلمين﴾
3. ﴿ونحن أقرب إليه من حبل الوريد﴾
4. ﴿إياك نعبد﴾",,((هو الله اللي ما فما إله غير هو)) ||| ((وبهاد الشي تأمرت وأنا أول المسلمين)) ||| ((وحنا قراب ليه أكثر من حبل الوريد)) ||| ((إياك نعبدو)),3,((إياك نعبدو))
39,islamic_studies::1112,islamic_studies,islamic/moral,arabic_mmlu,"قال تعالى: (وقولوا للناس حسنا). الآية تشير لحاجة تدخل تحت مسؤولية العايلة والمجتمع، وهي:|||1. تربية الصغار على الكلام الباهي
2. نشر ثقافة الكلام الباهي وتأكيدها
3. تعزيز دور القدوة في المجتمع",,تربية الدراري على الكلام المزيان ||| نشر ثقافة الكلام المزيان وتأكيدها ||| تعزيز دور القدوة في المجتمع,1,نشر ثقافة الكلام المزيان وتأكيدها
40,moral_scenarios::67,moral_scenarios,islamic/moral,mmlu,في اناهي حالة من الزوز حالات هاذي الشخصية الرئيسية (اللي تستعمل أنا/ليا/متاعي) عملت حاجة غالطة أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | وفاتلي صباغة الوجه اللي نصاوب بيها كسوة الهالوين متاع ولدي، استعملت صباغة الموبيليا خاطر لزمني ندبّر راسي. الحالة 2 | عاونتو في قرايتو: عملتلو البحث متاعو في بلاصتو.,,غالط، غالط ||| غالط، موشي غالط ||| موشي غالط، غالط ||| موشي غالط، موشي غالط,0,غالط، غالط
41,marketing::105,marketing,professional/civic,mmlu,توزيع إيشنتيونات عطورات بلاش (بريحة) في المجلات هو مثال على شنوّة من اللي جاي؟,,التكييف الكلاسيكي. ||| التكييف الإجرائي. ||| التعلم الاجتماعي. ||| التعلم السلوكي.,0,التكييف الكلاسيكي.
42,geography::1169,geography,humanities/history,arabic_mmlu,اتجاه الرياح عند درجة 45 يكون:,,جنوبية شرقية ||| شمالية شرقية ||| شمالية غربية ||| جنوبية غربية,1,شمالية شرقية
43,driving_test::127,driving_test,professional/civic,arabic_mmlu,"إذا كانت بطارية كرهبتك ضعيفة وحبيت تشعلها من بطارية أخرى بالكابلات، لازمك تعمل هكّة:|||1. تحط القطب السالب (-) على القطب السالب (-) والقطب الموجب (+) على القطب السالب (-)
2. تحط القطب الموجب (+) على القطب الموجب (+) والقطب السالب (-) على القطب السالب (-)
3. تحط القطب الموجب (+) على القطب السالب (-) والقطب السالب (-) على القطب الموجب (+)",,كتحط الإصبع السالب (-) على الإصبع السالب (-) والإصبع الموجب (+) على الإصبع السالب (-) ||| كتحط الإصبع الموجب (+) على الإصبع الموجب (+) والإصبع السالب (-) على الإصبع السالب (-) ||| كتحط الإصبع الموجب (+) على الإصبع السالب (-) والإصبع السالب (-) على الإصبع الموجب(+),1,كتحط الإصبع الموجب (+) على الإصبع الموجب (+) والإصبع السالب (-) على الإصبع السالب (-)
44,professional_law::318,professional_law,professional/civic,mmlu,"راجل ومرا طلّقوا بعد 17 عام زواج. عندهم ولد عمرو 10 سنين. في الطلاق، خذات المرا حضانة الولد، والراجل عندو حق الزيارة في الويكاند. من بعد، قبل الراجل خدمة جديدة في ولاية أخرى. قبل ما يمشي، تقابل مع محامي باش يشوف كيفاش ينجّم ياخذ الحضانة الكاملة متاع ولدو. المحامي قاللو اللي الولاية الجديدة ما تعترفش بقرارات الطلاق متاع الولايات الأخرى، وعلى الأساس هذا نصحو اللي ينجّم ياخذ ولدو يسكن معاه بلا ما يخالف القانون. النصيحة هاذي كانت غالطة: الولاية الجديدة في الحقيقة تحترم قرارات الطلاق متاع الولايات الأخرى. في الزيارة اللي جات من بعد، خذا الراجل ولدو من عند مرتو القديمة، وعوض ما يرجّعو، هزّو يسكن معاه في الولاية الجديدة. بعد ما رفض يرجّع ولدو، تشدّ الراجل واتّهم بالاختطاف. القانون يقول اللي الاختطاف هو ""خطف شخص عن عمد ونقلو لبلاصة أخرى"". هل يلزم الراجل يتحكم عليه بالاختطاف؟|||1. آي، خاطر نقل ولدو لبلاصة أخرى بطريقة موش قانونية وخالف قرار الطلاق.
2. آي، خاطر الغلط في القانون موش دفاع.
3. لا، خاطر ما كانتش عندو النية.
4. لا، خاطر خذا نصيحة قانونية غالطة.",,آه، خاطر نقل ولدو لبلاصة خرى بطريقة غير قانونية، وخالف قرار الطلاق. ||| آه، خاطر الغلط في القانون موشي دفاع. ||| لا، خاطر ما كانش عندو النية. ||| لا، خاطر خدا نصيحة قانونية غالطة.,2,لا، خاطر ما كانش عندو النية.
45,marketing::176,marketing,professional/civic,mmlu,الطريقة هاذي تتستعمل باش توصّل معلومات معيّنة وتساعد في تعليم جمهور كبير من خلال برامج التلفزة والراديو. الطريقة هاذي يسمّيوها:,,تابعين الرأي. ||| مكونين الرأي. ||| العلاقات العامة. ||| قادة الرأي.,3,قادة الرأي.
