annotation_order,item_id,subject,domain_group,source,question,context,choices,gold_answer_index,gold_answer_text
24,logical_fallacies::27,logical_fallacies,humanities/history,mmlu,مغالطة الاستناد لسلطة مجهولة تتمثّل في:,,الاستدلال اللي فعل معيّن ولاّ سلسلة أفعال لازمها تتعمل خاطر ما باش يكونلها حتى نتائج مهمة، والحال ما فما حتى دليل اللي ما باش يكون حتى نتائج. ||| الاستدلال اللي ادّعاء معيّن لازم يتقبل على أساس اللي برشا ناس يقبلوا فيه. ||| الاستدلال اللي حاجة معيّنة لازم تتعمل خاطر كانت تتعمل في الماضي. ||| الاستدلال اللي ادّعاء معيّن لازم يتقبل كان على أساس التأكيد اللي سلطات مجهولة تقبل فيه.,3,الاستدلال اللي ادّعاء معيّن لازم يتقبل كان على أساس التأكيد اللي سلطات مجهولة تقبل فيه.
25,civics::23,civics,professional/civic,arabic_mmlu,شنوة موقف الشريف الحسين من الدولة العثمانية قبل ما يعلن على الثورة؟ ,,العداء للاتحاديين ||| العداء للدولة ||| العداء للسلطان |||  كل شي الي تقال صحيح,0,العداء للاتحاديين
26,high_school_government_and_politics::137,high_school_government_and_politics,professional/civic,mmlu,اناهو منصب من المناصب هاذم موش من اللازم يتسند لعضو في الكونغريس؟,,رئيس مؤقت لمجلس الشيوخ ||| رئيس مجلس النواب ||| رئيس مؤسسة إدارة الكونغريس ||| نائب زعيم الأقلية,2,رئيس مؤسسة إدارة الكونغريس
27,high_school_psychology::174,high_school_psychology,humanities/history,mmlu,في لعبة شدّ الحبل بالفريق، تاي ما يجبدش بنفس القوة اللي يجبد بيها لو كان وحدو ضد واحد آخر. السلوك هذا يمثّل:,,التجرد من الفردية ||| التفكير الجماعي ||| التكاسل الاجتماعي ||| تأثير المتفرج,2,التكاسل الاجتماعي
28,logical_fallacies::132,logical_fallacies,humanities/history,mmlu,القياس الانفصالي الصحيح عندو مقدّمة كبرى:,,فيها زوز بدائل ولاّ أكثر ||| تصنّف في المواضيع ||| تأكّد المقدَّم ولاّ تنفي التالي ||| توصل لنتيجة صحيحة,0,فيها زوز بدائل ولاّ أكثر
29,nutrition::103,nutrition,STEM/health,mmlu,"شنوّة من الحاجات هاذي صحيح على تشخيص ""أوستيوبينيا"" ولاّ ""أوستيوبوروز"" في أمريكا الشمالية وأوروبا الغربية؟",,النساء اللي فاتوا الـ80 سنة وعندهم أوستيوبينيا تكون عندهم كثافة عظام فوق المعدّل متاع عمرهم ||| أقل من 10% من النساء اللي فاتوا الـ50 سنة عندهم أوستيوبينيا ||| أقل من 50% من النساء اللي فاتوا الـ80 سنة عندهم أوستيوبينيا ولاّ أوستيوبوروز ||| الأوستيوبوروز يتعرّف على أساس كثافة عظام أنقص من معدّل الناس اللي في نفس العمر بـ2.5 انحراف معياري.,0,النساء اللي فاتوا الـ80 سنة وعندهم أوستيوبينيا تكون عندهم كثافة عظام فوق المعدّل متاع عمرهم
30,professional_psychology::47,professional_psychology,humanities/history,mmlu,البنزوديازيبين يلزم يتستعمل بحذر خاطر _________.,,غاليين برشا ||| يقدرو يسببو الإدمان ||| يقدرو يسببو نقص الكريات البيض ||| ما فما حتى سبب باش نستعملوهم,1,يقدرو يسببو الإدمان
31,arabic_language::457,arabic_language,language,arabic_mmlu,"حدّد من اللي جاي مظهر من مظاهر ""القديم"" اللي باينين في الزوز أبيات هاذم.","ألا حي من أسماء رسم المنازلوإن هي لم ترجع بيانا لسائل
خلاء تعفتها الروامس والتقتعليها أهاضيب الغيوم الحوافل",بداية القصيدة بوصف الأطلال. ||| التشاؤم والاستسلام للألم. ||| بداية القصيدة بالغزل التقليدي. ||| الاهتمام بالنفس أكثر من الغير.,0,بداية القصيدة بوصف الأطلال.
32,arabic_language_(general)::557,arabic_language_(general),language,arabic_mmlu,"اقرا النص القصير اللي جاي واختار الجواب المناسب للـ[فراغ] باش تتكمّل الجملة بشكل صحيح:
أداة الربط (فَـ) في قولو (فربّهم واحد) تعني [فراغ].",مميزات العالم الإسلامي بدات الدعوة الإسلامية في الجزيرة العربية في القرن السابع الميلادي، وانتشرات بسرعة خارج الجزيرة العربية، وبعد قرن ضمات مساحة واسعة من الكرة الأرضية، شملات المنطقة من الصين حتى المحيط الأطلسي في الغرب، ومن البحر الأسود وسيبيريا في الشمال، حتى المحيط الهندي في الجنوب. دخلو شعوب برشا في الإسلام بإرادتهم؛ خاطر حيد عليهم الظلم، وحقق ليهم العدل، والإسلام جعل من المسلمين أمة وحدة، هي الأمة الإسلامية، قال الله تعالى: ﴿إن هذه أمتكم أمة واحدة وأنا ربكم فياعبدون﴾، ووحد الإسلام بين المسلمين، بالرغم من اختلاف أعراقهم وألوانهم ولغاتهم وبيئاتهم؛ فيربهم واحد، وتابهم واحد، ورسولهم واحد، وقبلتهم وحدة. العالم الإسلامي عندو مزايا برشا خلاتو من أهم المناطق في العالم فيمن جهة هو كيف القلب لآسيا وإفريقيا وأوروبا، ويشرف على برشا متاع الممرات المائية، كيف البحر الأحمر والبحر الأبيض المتوسط، وبحر العرب والخليج العربي والمحيط الأطلسي والمحيط الهندي والمحيط الهادي وفالعالم الإسلامي ثروات زراعية ومعدنية وحيوانية برشا.,خاطر ||| أن ||| موش ||| موش باش,0,خاطر
33,biology::834,biology,STEM/health,arabic_mmlu,الهرمونات تتفرز من الغدد:,,الصماء بوحدها ||| القنوية بوحدها ||| المشتركة بوحدها ||| الصماء والمختلطة,3,الصماء والمختلطة
34,international_law::115,international_law,professional/civic,mmlu,"شنوّة هي ""النتيجة العادلة"" في قانون وممارسة تحديد الحدود البحرية؟",,هي الطريقة الوحيدة لتحديد الحدود اللي تتبعها المحاكم والهيئات الدولية ||| النتيجة العادلة هي اللي يقررو القاضي ولاّ المحكّم حسب رأيو وحسب اللي يشوفو عادل ومنصف في قضية تحديد الحدود ||| هي النتيجة النهائية اللي لازم توصلّها كل عمليات تحديد مناطق الجرف القاري والمنطقة الاقتصادية الخالصة، أما بعد ما يترسم خط مؤقت متساوي المسافة وتتعدّل المنطقة على حساب الظروف المعنية واختبار التناسب ||| تحقيق نتيجة عادلة طريقة قديمة لتحديد الحدود ماعادش تتطبق توّا,2,هي النتيجة النهائية اللي لازم توصلّها كل عمليات تحديد مناطق الجرف القاري والمنطقة الاقتصادية الخالصة، أما بعد ما يترسم خط مؤقت متساوي المسافة وتتعدّل المنطقة على حساب الظروف المعنية واختبار التناسب
35,biology::1157,biology,STEM/health,arabic_mmlu,نباتات تتكاثر بتكوين الجراثيم (الأبواغ):,,نباتات زهرية ||| نباتات بذرية ||| سراخس ||| الأجوبة الكل اللي قبل صحيحة,2,سراخس
36,driving_test::441,driving_test,professional/civic,arabic_mmlu,شكونهم أكثر مستعملي الطريق المعرّضين للخطر؟,,المشاة ||| أصحاب البسكلات ||| أصحاب الموطوات ||| الكل اللي تقال,3,الكل اللي تقال
37,computer_science::8,computer_science,STEM/health,arabic_mmlu,تنجّم تنزّل برنامج سكراتش من موقع Google.com.,,صحيح ||| غلط,1,غلط
38,arabic_language::588,arabic_language,language,arabic_mmlu,جملة قرآنية وحدة برك فيها ضمير نصب منفصل:,,﴿هو الله الذي لا إله إلا هو﴾ ||| ﴿وبذلك أُمرت وأنا أول المسلمين﴾ ||| ﴿ونحن أقرب إليه من حبل الوريد﴾ ||| ﴿إياك نعبد﴾,3,﴿إياك نعبد﴾
39,islamic_studies::1112,islamic_studies,islamic/moral,arabic_mmlu,قال تعالى: (وقولوا للناس حسنا). الآية تشير لحاجة تدخل تحت مسؤولية العايلة والمجتمع، وهي:,,تربية الصغار على الكلام الباهي ||| نشر ثقافة الكلام الباهي وتأكيدها ||| تعزيز دور القدوة في المجتمع,1,نشر ثقافة الكلام الباهي وتأكيدها
40,moral_scenarios::67,moral_scenarios,islamic/moral,mmlu,في اناهي حالة من الزوز حالات هاذي الشخصية الرئيسية (اللي تستعمل أنا/ليا/متاعي) عملت حاجة غالطة أخلاقيا، حسب المعايير الأخلاقية العادية في الولايات المتحدة في 2020؟ الحالة 1 | وفاتلي صباغة الوجه اللي نصاوب بيها كسوة الهالوين متاع ولدي، استعملت صباغة الموبيليا خاطر لزمني ندبّر راسي. الحالة 2 | عاونتو في قرايتو: عملتلو البحث متاعو في بلاصتو.,,غالط، غالط ||| غالط، موشي غالط ||| موشي غالط، غالط ||| موشي غالط، موشي غالط,0,غالط، غالط
41,marketing::105,marketing,professional/civic,mmlu,توزيع إيشنتيونات عطورات بلاش (بريحة) في المجلات هو مثال على شنوّة من اللي جاي؟,,التكييف الكلاسيكي. ||| التكييف الإجرائي. ||| التعلم الاجتماعي. ||| التعلم السلوكي.,0,التكييف الكلاسيكي.
42,geography::1169,geography,humanities/history,arabic_mmlu,اتجاه الرياح عند درجة 45 يكون:,,جنوبية شرقية ||| شمالية شرقية ||| شمالية غربية ||| جنوبية غربية,1,شمالية شرقية
43,driving_test::127,driving_test,professional/civic,arabic_mmlu,إذا كانت بطارية كرهبتك ضعيفة وحبيت تشعلها من بطارية أخرى بالكابلات، لازمك تعمل هكّة:,,تحط القطب السالب (-) على القطب السالب (-) والقطب الموجب (+) على القطب السالب (-) ||| تحط القطب الموجب (+) على القطب الموجب (+) والقطب السالب (-) على القطب السالب (-) ||| تحط القطب الموجب (+) على القطب السالب (-) والقطب السالب (-) على القطب الموجب (+),1,تحط القطب الموجب (+) على القطب الموجب (+) والقطب السالب (-) على القطب السالب (-)
44,professional_law::318,professional_law,professional/civic,mmlu,"راجل ومرا طلّقوا بعد 17 عام زواج. عندهم ولد عمرو 10 سنين. في الطلاق، خذات المرا حضانة الولد، والراجل عندو حق الزيارة في الويكاند. من بعد، قبل الراجل خدمة جديدة في ولاية أخرى. قبل ما يمشي، تقابل مع محامي باش يشوف كيفاش ينجّم ياخذ الحضانة الكاملة متاع ولدو. المحامي قاللو اللي الولاية الجديدة ما تعترفش بقرارات الطلاق متاع الولايات الأخرى، وعلى الأساس هذا نصحو اللي ينجّم ياخذ ولدو يسكن معاه بلا ما يخالف القانون. النصيحة هاذي كانت غالطة: الولاية الجديدة في الحقيقة تحترم قرارات الطلاق متاع الولايات الأخرى. في الزيارة اللي جات من بعد، خذا الراجل ولدو من عند مرتو القديمة، وعوض ما يرجّعو، هزّو يسكن معاه في الولاية الجديدة. بعد ما رفض يرجّع ولدو، تشدّ الراجل واتّهم بالاختطاف. القانون يقول اللي الاختطاف هو ""خطف شخص عن عمد ونقلو لبلاصة أخرى"". هل يلزم الراجل يتحكم عليه بالاختطاف؟",,آي، خاطر نقل ولدو لبلاصة أخرى بطريقة موش قانونية وخالف قرار الطلاق. ||| آي، خاطر الغلط في القانون موش دفاع. ||| لا، خاطر ما كانتش عندو النية. ||| لا، خاطر خذا نصيحة قانونية غالطة.,2,لا، خاطر ما كانتش عندو النية.
45,marketing::176,marketing,professional/civic,mmlu,الطريقة هاذي تتستعمل باش توصّل معلومات معيّنة وتساعد في تعليم جمهور كبير من خلال برامج التلفزة والراديو. الطريقة هاذي يسمّيوها:,,تابعين الرأي. ||| مكونين الرأي. ||| العلاقات العامة. ||| قادة الرأي.,3,قادة الرأي.
46,international_law::35,international_law,professional/civic,mmlu,"شنوّة هي مشكلة ""التجزئة"" في القانون الدولي؟",,التجزئة في القانون الدولي تتعلق بإمكانية اللي أنظمة قانونية مختلفة تطبّق نفس قواعد القانون الدولي ||| من الممكن اللي عدّة أنظمة قانونية (كيما قانون الاستثمار الأجنبي وقانون حقوق الإنسان) تتكوّن وتتطور بمعزل على بعضها، وفي الآخر توصل لإنتاج قواعد متباينة في القانون الدولي ||| التجزئة هي وقتلّي الدول يكون عندهم تفسيرات مختلفة لنفس قاعدة القانون الدولي ||| التجزئة هي وقتلّي الدول ما يتفقوش باش يلتزموا بقاعدة معينة من قواعد القانون الدولي,1,من الممكن اللي عدّة أنظمة قانونية (كيما قانون الاستثمار الأجنبي وقانون حقوق الإنسان) تتكوّن وتتطور بمعزل على بعضها، وفي الآخر توصل لإنتاج قواعد متباينة في القانون الدولي
47,biology::210,biology,STEM/health,arabic_mmlu,فمّا ثلاثة أنواع مختلفين متاع العضلات هوما:,,الهيكلية والمخططة والملساء ||| الهيكلية والملساء والقلبية ||| المخططة والغير مخططة والقلبية,1,الهيكلية والملساء والقلبية
48,jurisprudence::87,jurisprudence,islamic/moral,mmlu,شنوّة هي الجملة اللي توصف أحسن العلاقة بين القانون والأخلاق عند المنظّرين القانونيين غير الوضعيين؟,,ما فما حتى علاقة بين القانون والأخلاق. ||| القانون ديما متقدم على الأفكار الأخلاقية. ||| القانون مرتبط بشكل وثيق مع الأخلاق. ||| الأخلاق عموما متقدمة على القانون.,2,القانون مرتبط بشكل وثيق مع الأخلاق.
49,history::761,history,humanities/history,arabic_mmlu,من مؤلفات الملك الحسين بن طلال :,,المذكرات ||| حربنا مع إسرائيل ||| الأمالي السياسية ||| خواطر النسيم,1,حربنا مع إسرائيل
50,geography::614,geography,humanities/history,arabic_mmlu,مياه الخليج العربي تحيط بدولة قطر من ثلاثة جهات، وعلى هذاكة هي شبه جزيرة، وعرضها من الشرق للغرب يوصل تقريبا لـ:,,85 كيلومتر ||| 75 كيلومتر ||| 70 كيلومتر ||| 65 كيلومتر,0,85 كيلومتر
51,high_school_psychology::184,high_school_psychology,humanities/history,mmlu,شنوّة هي التقنية اللي تتحكم في تحيّز الباحث والمشارك في نفس الوقت؟,,خصائص الطلب ||| دراسة مزدوجة التعمية ||| دراسة أحادية التعمية ||| تأثير هاوثورن,1,دراسة مزدوجة التعمية
52,law::194,law,professional/civic,arabic_mmlu,ينجّم يتعمل الطعن بالاستئناف في القرارات متاع الغرفة الجنائية اللي صدرت في حق الأحداث:,,قدام غرفة الجنايات الاستئنافية متاع الأحداث ||| قدام الغرفة الجنحية متاع الأحداث ||| الأجوبة الكل غالطين,0,قدام غرفة الجنايات الاستئنافية متاع الأحداث
53,human_aging::124,human_aging,STEM/health,mmlu,نموذج الدعم الاجتماعي اللي يقول اللي الناس القراب ليك توّا أغلبهم باش يبقاوا قراب ليك طول حياتك يتسمّى نموذج ____,,الاستمرارية ||| القافلة ||| الارتباط ||| القطار,1,القافلة
54,high_school_world_history::30,high_school_world_history,humanities/history,mmlu,"السؤال هذا يتعلّق بالمعلومات التالية.
""يا مرا، فيقي؛ صوت العقل قاعد يتسمع في الكون الكل؛ اعرفي حقوقك. الراجل اللي كان مستعبد زاد في قوتو، [أما] كي ولّى حر، ولّى ظالم لرفيقتو. آ نساء، نساء! وقتاش باش تبطّلوا تكونوا عميان؟ شنوّة ربحتوا من الثورة؟ احتقار أكبر، واستهزاء أكثر. إذا بقاوا القادة متاعنا مصرّين، واجهوا بشجاعة قوة العقل ضد ادعاءاتهم الفارغة بالتفوق. مهما كانت العراقيل اللي تواجهكم، عندكم القدرة باش تحرروا رواحكم!""
أولمب دو غوج، ""إعلان حقوق المرأة والمواطنة""، 1791
""الاستقلال؟ ما تحقق شي من اللي كنت نتمناه. كنت نتوقع اللي أولادي باش ينجموا يتعلموا، أما ما تعلموش. كنا فلاحة فقراء وقتها، ومازلنا فلاحة فقراء لتوّا. ما تبدّل شي. كل شي على حالو. الحاجة الوحيدة هي اللي أحنا أحرار، الحرب سالت، نخدموا بلا خوف — أما غير هذاكة، ما تبدّل شي.""
حليمة غمري، تعملت معاها مقابلة في السبعينات، بعد حرب استقلال الجزائر
على أساس الزوز نصوص هاذم، اناهو استنتاج ينجّم يتعمل بأكثر معقولية على الثورات؟",,الحريات الجديدة اللي تجي مع الثورة قليل وين تسوى الدم اللي يتهرق. ||| الحريات الجديدة اللي تجي مع الثورة في الغالب ما تنفعش النساء ولاّ الأقليات العرقية. ||| الحريات الجديدة اللي تجي مع الثورة ساعات تتوزع بشكل موش متساوي ولاّ متناقض. ||| الحريات الجديدة اللي تجي مع الثورة موش ديما تجيب تحسّن اقتصادي.,2,الحريات الجديدة اللي تجي مع الثورة ساعات تتوزع بشكل موش متساوي ولاّ متناقض.
55,world_religions::8,world_religions,islamic/moral,mmlu,"""الكلام بألسنة غريبة"" خاصية متاع اناهي طايفة مسيحية؟",,الإنجيلية ||| البيتيزم ||| الخمسينية ||| الأصولية,2,الخمسينية
56,geography::1273,geography,humanities/history,arabic_mmlu,أطول أنهار قارة أوروبا وأهمها نهر,,السين ||| الراين ||| الدانوب ||| النيل,2,الدانوب
57,professional_psychology::556,professional_psychology,humanities/history,mmlu,مارغريت ماهلر اقترحت اللي تطوير الإحساس بالذات مرتبط بـ:,,الانفصال-التفرد. ||| التماهي الإسقاطي. ||| التبادلية الزايفة. ||| الاستيعاب-التكيف.,0,الانفصال-التفرد.
